ano,semana,casos
2000,1,10
2000,2,23
2000,3,23
2000,4,21
2000,5,57
2000,6,35
2000,7,28
2000,8,10
2000,9,7
2000,10,9
2000,11,16
2000,12,16
2000,13,14
2000,14,12
2000,15,17
2000,16,5
2000,17,4
2000,18,1
2000,19,4
2000,20,3
2000,21,2
2000,22,3
2000,23,3
2000,25,1
2000,27,14
2000,28,1
2000,29,3
2000,30,2
2000,31,3
2000,32,5
2000,33,1
2000,34,7
2000,35,7
2000,36,8
2000,37,9
2000,38,13
2000,39,4
2000,40,7
2000,41,6
2000,42,5
2000,43,8
2000,44,9
2000,45,6
2000,46,18
2000,47,10
2000,48,13
2000,49,7
2000,50,8
2000,51,17
2000,52,3
2001,1,17
2001,2,8
2001,3,13
2001,4,13
2001,5,5
2001,6,11
2001,7,7
2001,8,8
2001,9,12
2001,10,12
2001,11,10
2001,12,12
2001,13,14
2001,14,20
2001,15,9
2001,16,9
2001,17,13
2001,18,10
2001,19,9
2001,20,11
2001,21,14
2001,22,12
2001,23,16
2001,24,15
2001,25,9
2001,26,14
2001,27,14
2001,28,3
2001,29,8
2001,30,12
2001,31,9
2001,32,7
2001,33,12
2001,34,4
2001,35,4
2001,36,7
2001,37,17
2001,38,13
2001,39,6
2001,40,8
2001,41,6
2001,42,6
2001,43,4
2001,44,4
2001,45,5
2001,46,9
2001,47,11
2001,48,7
2001,49,6
2001,50,9
2001,51,7
2001,52,9
2002,1,13
2002,2,25
2002,3,46
2002,4,46
2002,5,52
2002,6,47
2002,7,53
2002,8,54
2002,9,40
2002,10,47
2002,11,41
2002,12,35
2002,13,21
2002,14,23
2002,15,35
2002,16,66
2002,17,33
2002,18,38
2002,19,51
2002,20,38
2002,21,38
2002,22,43
2002,23,35
2002,24,41
2002,25,31
2002,26,26
2002,27,29
2002,28,25
2002,29,22
2002,30,21
2002,31,19
2002,32,27
2002,33,14
2002,34,43
2002,35,15
2002,36,28
2002,37,22
2002,38,29
2002,39,40
2002,40,31
2002,41,46
2002,42,78
2002,43,97
2002,44,61
2002,45,60
2002,46,79
2002,47,121
2002,48,164
2002,49,158
2002,50,138
2002,51,83
2002,52,32
2003,1,41
2003,2,39
2003,3,21
2003,4,34
2003,5,34
2003,6,29
2003,7,19
2003,8,22
2003,9,22
2003,10,10
2003,11,21
2003,12,19
2003,13,13
2003,14,20
2003,15,21
2003,16,7
2003,17,11
2003,18,3
2003,19,8
2003,20,9
2003,21,5
2003,22,12
2003,23,15
2003,24,17
2003,25,9
2003,26,14
2003,27,8
2003,28,16
2003,29,17
2003,30,10
2003,31,4
2003,32,9
2003,33,7
2003,34,9
2003,35,7
2003,36,11
2003,37,10
2003,38,15
2003,39,10
2003,40,8
2003,41,9
2003,42,21
2003,43,16
2003,44,15
2003,45,9
2003,46,20
2003,47,18
2003,48,12
2003,49,10
2003,50,12
2003,51,14
2003,52,4
2003,53,8
2004,1,17
2004,2,24
2004,3,40
2004,4,27
2004,5,50
2004,6,27
2004,7,30
2004,8,37
2004,9,30
2004,10,21
2004,11,15
2004,12,15
2004,13,21
2004,14,13
2004,15,14
2004,16,14
2004,17,11
2004,18,8
2004,19,16
2004,20,21
2004,21,15
2004,22,32
2004,23,19
2004,24,13
2004,25,20
2004,26,28
2004,27,28
2004,28,20
2004,29,22
2004,30,19
2004,31,27
2004,32,26
2004,33,21
2004,34,22
2004,35,23
2004,36,35
2004,37,38
2004,38,24
2004,39,42
2004,40,29
2004,41,30
2004,42,42
2004,43,35
2004,44,34
2004,45,53
2004,46,98
2004,47,99
2004,48,248
2004,49,332
2004,50,351
2004,51,185
2004,52,119
2005,1,61
2005,2,62
2005,3,44
2005,4,40
2005,5,31
2005,6,29
2005,7,30
2005,8,34
2005,9,38
2005,10,39
2005,11,42
2005,12,33
2005,13,31
2005,14,26
2005,15,54
2005,16,42
2005,17,26
2005,18,29
2005,19,35
2005,20,32
2005,21,11
2005,22,16
2005,23,29
2005,24,29
2005,25,25
2005,26,30
2005,27,49
2005,28,38
2005,29,17
2005,30,19
2005,31,29
2005,32,22
2005,33,23
2005,34,20
2005,35,7
2005,36,7
2005,37,12
2005,38,5
2005,39,10
2005,40,20
2005,41,52
2005,42,45
2005,43,33
2005,44,65
2005,45,38
2005,46,71
2005,47,60
2005,48,56
2005,49,66
2005,50,54
2005,51,27
2005,52,29
2006,1,54
2006,2,62
2006,3,58
2006,4,91
2006,5,120
2006,6,127
2006,7,126
2006,8,97
2006,9,105
2006,10,95
2006,11,75
2006,12,61
2006,13,48
2006,14,39
2006,15,17
2006,16,27
2006,17,20
2006,18,29
2006,19,21
2006,20,14
2006,21,22
2006,22,17
2006,23,11
2006,24,11
2006,25,5
2006,26,8
2006,27,20
2006,28,26
2006,29,22
2006,30,20
2006,31,20
2006,32,21
2006,33,21
2006,34,49
2006,35,24
2006,36,29
2006,37,25
2006,38,32
2006,39,42
2006,40,18
2006,41,39
2006,42,40
2006,43,36
2006,44,32
2006,45,30
2006,46,18
2006,47,25
2006,48,12
2006,49,6
2006,50,12
2006,51,10
2006,52,6
2007,1,41
2007,2,47
2007,3,27
2007,4,53
2007,5,70
2007,6,79
2007,7,65
2007,8,65
2007,9,33
2007,10,41
